timestamp,action,symbol,qty,price,fee,status,details,strategy
2025-08-11T09:37:09.254892,BUY,FDUSDUSDT,0.0,0.998,0.0,SKIPPED,"Condition not met: price=0.998, priceChange=0.0, quoteVol=577687614.3013, baseVol=578734373.0",microcap_other
2025-08-11T09:37:15.367165,BUY,ENAUSDT,0.154,0.8240000000000001,0.00063448,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 85652201, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8242', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754894232692, 'paper': True}",microcap_pricechange
2025-08-11T09:37:18.246536,BUY,ENAUSDT,0.154,0.8240000000000001,0.00063448,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 44023789, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8242', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754894235685, 'paper': True}",microcap_pricechange
2025-08-11T09:37:21.247395,BUY,ENAUSDT,0.154,0.8240000000000001,0.00063448,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 77505555, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8243', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754894238598, 'paper': True}",microcap_pricechange
2025-08-11T09:37:24.143935,BUY,ENAUSDT,0.154,0.8240000000000001,0.00063448,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 34106628, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8243', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754894241565, 'paper': True}",microcap_pricechange
2025-08-11T09:37:27.084546,BUY,ENAUSDT,0.154,0.8240000000000001,0.00063448,SUCCESS,"{'symbol': 'ENAUSDT', 'orderId': 67724611, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.8244', 'origQty': '0.154', 'executedQty': '0.154', 'transactTime': 1754894244492, 'paper': True}",microcap_pricechange
2025-08-11T09:37:33.170128,BUY,SUIUSDT,0.02,3.8438000000000003,0.00038438000000000003,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 44949487, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8457', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754894250561, 'paper': True}",microcap_volume
2025-08-11T09:37:36.052277,BUY,SUIUSDT,0.02,3.8438000000000003,0.00038438000000000003,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 76439214, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8452', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754894253487, 'paper': True}",microcap_volume
2025-08-11T09:37:39.023680,BUY,SUIUSDT,0.02,3.8438000000000003,0.00038438000000000003,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 52730779, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8448', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754894256383, 'paper': True}",microcap_volume
2025-08-11T09:37:41.934293,BUY,SUIUSDT,0.02,3.8438000000000003,0.00038438000000000003,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 85881427, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8448', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754894259338, 'paper': True}",microcap_volume
2025-08-11T09:37:44.887257,BUY,SUIUSDT,0.02,3.8438000000000003,0.00038438000000000003,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 44532090, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8448', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754894262245, 'paper': True}",microcap_volume
2025-08-11T09:37:51.407028,BUY,TREEUSDT,0.27999999999999997,0.43460000000000004,0.00060844,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 69494826, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4342', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754894268734, 'paper': True}",microcap_pricechange
2025-08-11T09:37:54.286201,BUY,TREEUSDT,0.27999999999999997,0.43460000000000004,0.00060844,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 96712010, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4341', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754894271732, 'paper': True}",microcap_pricechange
2025-08-11T09:37:57.251328,BUY,TREEUSDT,0.27999999999999997,0.43460000000000004,0.00060844,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 48858968, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.434', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754894274613, 'paper': True}",microcap_pricechange
2025-08-11T09:38:00.212874,BUY,TREEUSDT,0.27999999999999997,0.43460000000000004,0.00060844,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 99077131, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4337', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754894277652, 'paper': True}",microcap_pricechange
2025-08-11T09:38:03.309387,BUY,TREEUSDT,0.27999999999999997,0.43460000000000004,0.00060844,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 67719924, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.434', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754894280539, 'paper': True}",microcap_pricechange
2025-08-11T09:38:09.491786,BUY,PEPEUSDT,52993.0,0.0,0.00063962551,SKIPPED,"Condition not met: price=1.207e-05, priceChange=-0.33, quoteVol=135146352.12771553, baseVol=11174961376870.0",microcap_other
2025-08-11T09:38:15.368858,BUY,PENGUUSDT,16.0,0.0398,0.000636144,SKIPPED,"Condition not met: price=0.039759, priceChange=1.7, quoteVol=101632897.016766, baseVol=2547472973.0",microcap_other
2025-08-11T09:38:21.418788,BUY,TRXUSDT,1.8,0.341,0.0006138000000000001,SKIPPED,"Condition not met: price=0.341, priceChange=0.235, quoteVol=99318355.18357, baseVol=291947417.6",microcap_other
2025-08-11T09:38:28.596528,BUY,LDOUSDT,0.086,1.468,0.00063124,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 99243679, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.468', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754894305974, 'paper': True}",microcap_pricechange
2025-08-11T09:38:31.649621,BUY,LDOUSDT,0.086,1.468,0.00063124,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 16118792, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.468', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754894308923, 'paper': True}",microcap_pricechange
2025-08-11T09:38:34.651265,BUY,LDOUSDT,0.086,1.468,0.00063124,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 17188640, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.468', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754894311971, 'paper': True}",microcap_pricechange
2025-08-11T09:38:37.562840,BUY,LDOUSDT,0.086,1.468,0.00063124,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 39553713, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.468', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754894314968, 'paper': True}",microcap_pricechange
2025-08-11T09:38:40.531628,BUY,LDOUSDT,0.086,1.468,0.00063124,SUCCESS,"{'symbol': 'LDOUSDT', 'orderId': 11505140, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '1.468', 'origQty': '0.086', 'executedQty': '0.086', 'transactTime': 1754894317904, 'paper': True}",microcap_pricechange
2025-08-11T09:38:46.785845,BUY,PROVEUSDT,0.4,1.4418,0.0005767200000000001,SKIPPED,"Condition not met: price=1.4418, priceChange=-3.101, quoteVol=82964055.20716, baseVol=57392437.8",microcap_other
2025-08-11T09:43:07.447213,BUY,USDCUSDT,0.0,1.0,0.0,SKIPPED,"Condition not met: price=1.0, priceChange=0.01, quoteVol=2183229670.4269, baseVol=2183559335.0",microcap_other
2025-08-11T09:43:13.441253,BUY,FDUSDUSDT,0.0,0.998,0.0,SKIPPED,"Condition not met: price=0.998, priceChange=-0.02, quoteVol=579232640.2877, baseVol=580282491.0",microcap_other
